# Merged run metadata for plotting. One row per run.
#run:fill,time,delivered(/fb),recorded(/fb),integrated_recorded(/fb)
357268:8115,08/10/22 19:34:00,0.022928021,0.021037666,3.067581038
357271:8115,08/10/22 20:10:57,0.447671657,0.416895272,3.484476310
357328:8118,08/11/22 19:45:57,0.017976114,0.016387207,3.500863517
357329:8118,08/11/22 20:13:21,0.230485153,0.216058019,3.716921536
357330:8118,08/12/22 00:34:27,0.046027944,0.042451168,3.759372704
357331:8118,08/12/22 01:38:29,0.006488921,0.005561528,3.764934232
357332:8118,08/12/22 01:50:29,0.109845359,0.097896931,3.862831163
357333:8118,08/12/22 04:41:18,0.044838850,0.043020697,3.905851860
357401:8120,08/12/22 18:57:25,0.171966894,0.167341761,4.073193621
357406:8121,08/13/22 02:47:20,0.035216410,0.033323348,4.106516969
357438:8124,08/13/22 14:37:25,0.066695699,0.061744525,4.168261494
357440:8124,08/13/22 16:04:46,0.120011894,0.113610385,4.281871879
357441:8124,08/13/22 18:25:23,0.025409238,0.024716946,4.306588825
357442:8124,08/13/22 19:03:01,0.315098352,0.306823255,4.613412080
357447:8125,08/14/22 06:45:20,0.002762522,0.002405448,4.615817528
357472:8128,08/14/22 18:42:00,0.007465597,0.007182112,4.622999640
357478:8128,08/15/22 03:49:42,0.002264846,0.001606763,4.624606403
357479:8128,08/15/22 03:54:43,0.344427043,0.327925714,4.952532117
357482:8128,08/15/22 10:48:28,0.051024371,0.049572603,5.002104720
357538:8132,08/15/22 20:37:19,0.006593377,0.005419413,5.007524133
357542:8132,08/15/22 20:57:04,0.091326104,0.083355963,5.090880096
357550:8132,08/15/22 22:37:57,0.012845617,0.011725287,5.102605383
357610:8136,08/17/22 05:34:23,0.047949894,0.045113719,5.147719102
357611:8136,08/17/22 06:50:12,0.114384239,0.110069209,5.257788311
357612:8136,08/17/22 09:32:56,0.159539244,0.154004621,5.411792932
357613:8136,08/17/22 14:22:26,0.046660007,0.045516370,5.457309302
357688:8142,08/19/22 01:18:59,0.139184359,0.128937081,5.586246383
357696:8143,08/19/22 06:54:55,0.130067290,0.122713109,5.708959492
