run_number,run_era
368822,Run2023C
369869,Run2023D
369870,Run2023D
369873,Run2023D
369927,Run2023D
#369943,Run2023D
369956,Run2023D
369978,Run2023D
369998,Run2023D
#370102,Run2023D
370129,Run2023D
370144,Run2023D
370169,Run2023D
#370175,Run2023D
370293,Run2023D
#370294,Run2023D
370300,Run2023D
370304,Run2023D
370307,Run2023D
#370332,Run2023D
370340,Run2023D
370354,Run2023D
#370357,Run2023D
#370406,Run2023D
370460,Run2023D
370497,Run2023D
370522,Run2023D
370560,Run2023D
370579,Run2023D
370580,Run2023D
370749,Run2023D
#370772,Run2023D
#370774,Run2023D
#370775,Run2023D
#370776,Run2023D
379613,Run2024C
#379617,Run2024C
379660,Run2024C
379661,Run2024C
379729,Run2024C
379765,Run2024C
379774,Run2024C
#379866,Run2024C
#379984,Run2024C
380001,Run2024C
380005,Run2024C
380007,Run2024C
380029,Run2024C
380030,Run2024C
380032,Run2024C
380043,Run2024C
380049,Run2024C
380051,Run2024C
#380053,Run2024C
#380056,Run2024C
380066,Run2024C
#380074,Run2024C
#380115,Run2024C
380126,Run2024C
380127,Run2024C
380128,Run2024C
#380195,Run2024C
380197,Run2024C
#380306,Run2024D
#380309,Run2024D
#380310,Run2024D
380346,Run2024D
380348,Run2024D
380349,Run2024D
#380360,Run2024D
380377,Run2024D
380384,Run2024D
380385,Run2024D
380399,Run2024D
380403,Run2024D
380444,Run2024D
380446,Run2024D
380447,Run2024D
380466,Run2024D
380470,Run2024D
380481,Run2024D
380513,Run2024D
380531,Run2024D
380534,Run2024D
380538,Run2024D
380623,Run2024D
380624,Run2024D
380627,Run2024D
380647,Run2024D
380648,Run2024D
380649,Run2024D
380933,Run2024D
380945,Run2024D
380947,Run2024D
380963,Run2024E
381022,Run2024E
381053,Run2024E
381065,Run2024E
381067,Run2024E
381069,Run2024E
381070,Run2024E
381075,Run2024E
381078,Run2024E
381079,Run2024E
381080,Run2024E
381113,Run2024E
381114,Run2024E
381115,Run2024E
381148,Run2024E
#381149,Run2024E
#381151,Run2024E
#381152,Run2024E
381164,Run2024E
381190,Run2024E
381191,Run2024E
381199,Run2024E
381212,Run2024E
381286,Run2024E
381309,Run2024E
381364,Run2024E
381365,Run2024E
381371,Run2024E
381379,Run2024E
381380,Run2024E
381384,Run2024E
381417,Run2024E
381443,Run2024E
381477,Run2024E
381479,Run2024E
381480,Run2024E
381484,Run2024E
381499,Run2024E
381500,Run2024E
381515,Run2024E
381516,Run2024E
381543,Run2024E
381544,Run2024E
#381594,Run2024E
#392175,Run2025C
#392194,Run2025C
#392196,Run2025C
#392197,Run2025C
#392203,Run2025C
#392204,Run2025C
#392205,Run2025C
#392206,Run2025C
#392207,Run2025C
#392220,Run2025C
#392221,Run2025C
#392250,Run2025C
#392251,Run2025C
#392295,Run2025C
#392296,Run2025C
#392301,Run2025C
#392358,Run2025C
#392360,Run2025C
#392361,Run2025C
#392363,Run2025C
#392382,Run2025C
#392431,Run2025C
#392440,Run2025C
#392441,Run2025C
#392442,Run2025C
#392473,Run2025C
#392477,Run2025C
#392524,Run2025C
#392526,Run2025C
#392538,Run2025C
#392542,Run2025C
#392633,Run2025C
#392634,Run2025C
#392642,Run2025C
#392668,Run2025C
#392669,Run2025C
#392672,Run2025C
#392676,Run2025C
#392700,Run2025C
#392705,Run2025C
#392710,Run2025C
#392732,Run2025C
#392733,Run2025C
#392751,Run2025C
#392787,Run2025C
#392925,Run2025C
#392959,Run2025C
#392991,Run2025C
#392993,Run2025C
#392997,Run2025C
#393015,Run2025C
#393071,Run2025C
#393085,Run2025C
#393087,Run2025C
#393111,Run2025C
#393125,Run2025C
#393129,Run2025C
#393147,Run2025C
#393168,Run2025C
#393169,Run2025C
#393171,Run2025C
#393240,Run2025C
#393273,Run2025C
#393276,Run2025C
#393331,Run2025C
393346,Run2025C
393347,Run2025C
393376,Run2025C
393377,Run2025C
393378,Run2025C
393445,Run2025C
393448,Run2025C
393461,Run2025C
#393512,Run2025C
#393514,Run2025C
#393516,Run2025C
394637,Run2025D
394673,Run2025D
394677,Run2025D
394702,Run2025D
394727,Run2025D
394753,Run2025D
394754,Run2025D
394776,Run2025D
394789,Run2025D
394820,Run2025D
395431,Run2025D
395444,Run2025D
395445,Run2025D
395465,Run2025D
395497,Run2025D
395505,Run2025D
395507,Run2025D
395509,Run2025D
395517,Run2025D
395519,Run2025D
395524,Run2025D
395525,Run2025D
395549,Run2025D
395606,Run2025D
395607,Run2025D
395608,Run2025D
395616,Run2025D
395622,Run2025D
#395639,Run2025D
#395641,Run2025D
395648,Run2025D
395649,Run2025D
395650,Run2025D
395670,Run2025D
#395729,Run2025D
#395730,Run2025D
#395747,Run2025D
#395749,Run2025D
#395750,Run2025D
#395758,Run2025D
#395759,Run2025D
#395760,Run2025D
#395762,Run2025D
395773,Run2025D
#395817,Run2025D
395876,Run2025D
395900,Run2025D
395922,Run2025D
395924,Run2025D
395926,Run2025D
395939,Run2025D
395947,Run2025D
395948,Run2025D
395984,Run2025E
395987,Run2025E
396008,Run2025E
396009,Run2025E
396021,Run2025E
396057,Run2025E
396058,Run2025E
396102,Run2025E
396127,Run2025E
396134,Run2025E
396135,Run2025E
396148,Run2025E
396152,Run2025E
#396153,Run2025E
396154,Run2025E
396157,Run2025E
396158,Run2025E
396177,Run2025E
396180,Run2025E
#396185,Run2025E
#396191,Run2025E
396216,Run2025E
396222,Run2025E
396225,Run2025E
396227,Run2025E
396228,Run2025E
396243,Run2025E
#396260,Run2025E
396282,Run2025E
396283,Run2025E
396319,Run2025E
396335,Run2025E
396337,Run2025E
396356,Run2025E
396372,Run2025E
#396393,Run2025E
396397,Run2025E
396398,Run2025E
#396399,Run2025E
#396725,Run2025F
#396733,Run2025F
#396735,Run2025F
396757,Run2025F
396761,Run2025F
396762,Run2025F
396763,Run2025F
396773,Run2025F
396805,Run2025F
396819,Run2025F
396826,Run2025F
396843,Run2025F
396845,Run2025F
396847,Run2025F
396850,Run2025F
396870,Run2025F
396871,Run2025F
396872,Run2025F
396891,Run2025F
396892,Run2025F
396965,Run2025F
396988,Run2025F
396999,Run2025F
397021,Run2025F
397033,Run2025F
397049,Run2025F
397050,Run2025F
397097,Run2025F
397098,Run2025F
#397106,Run2025F
397186,Run2025F
397209,Run2025F
397226,Run2025F
397227,Run2025F
397243,Run2025F
397246,Run2025F
397249,Run2025F
397253,Run2025F
397255,Run2025F
397258,Run2025F
397262,Run2025F
397292,Run2025F
397293,Run2025F
397294,Run2025F
397296,Run2025F
397332,Run2025F
397347,Run2025F
397348,Run2025F
397368,Run2025F
397377,Run2025F
397383,Run2025F
397384,Run2025F
397414,Run2025F
397432,Run2025F
397449,Run2025F
397452,Run2025F
397456,Run2025F
397457,Run2025F
397489,Run2025F
397490,Run2025F
397491,Run2025F
397492,Run2025F
397568,Run2025F
397569,Run2025F
397580,Run2025F
397594,Run2025F
397595,Run2025F
397596,Run2025F
397619,Run2025F
397620,Run2025F
397621,Run2025F
397622,Run2025F
397638,Run2025F
397702,Run2025F
397704,Run2025F
397709,Run2025F
397712,Run2025F
397728,Run2025F
397729,Run2025F
397763,Run2025F
397764,Run2025F
397768,Run2025F
397777,Run2025F
397779,Run2025F
397780,Run2025F
397791,Run2025F
397793,Run2025F
397794,Run2025F
397813,Run2025F
397817,Run2025F
397954,Run2025G
397962,Run2025G
398023,Run2025G
398027,Run2025G
398039,Run2025G
398040,Run2025G
398081,Run2025G
398086,Run2025G
398088,Run2025G
398104,Run2025G
398121,Run2025G
398139,Run2025G
398143,Run2025G
398144,Run2025G
398178,Run2025G
398183,Run2025G
398185,Run2025G
398188,Run2025G
398189,Run2025G
398203,Run2025G
398208,Run2025G
398288,Run2025G
398308,Run2025G
398310,Run2025G
398315,Run2025G
398335,Run2025G
398337,Run2025G
398348,Run2025G
398365,Run2025G
398368,Run2025G
398391,Run2025G
398395,Run2025G
398396,Run2025G
398419,Run2025G
398427,Run2025G
398458,Run2025G
398460,Run2025G
398515,Run2025G
398517,Run2025G
398538,Run2025G
398539,Run2025G
398540,Run2025G
398541,Run2025G
398548,Run2025G
398549,Run2025G
398558,Run2025G
398593,Run2025G
398594,Run2025G
398595,Run2025G
398600,Run2025G
398647,Run2025G
398648,Run2025G
398675,Run2025G
398680,Run2025G
398681,Run2025G
398683,Run2025G
