year,run,total,passed,efficiency
2022,360019,739413,698827,94.511051
2022,360075,459265,432621,94.198556
2022,360090,319943,302511,94.551529
2022,360125,104093,98013,94.159069
2022,360126,190564,179794,94.348355
2022,360127,93404,88178,94.404951
2022,360128,70218,66229,94.319120
2022,360130,1406,1327,94.381223
2022,360131,141086,133535,94.647945
2022,360141,451446,425314,94.211489
2022,360295,814082,775442,95.253549
2022,360296,211665,200880,94.904684
2022,360327,206244,196087,95.075251
2022,360390,41657,39059,93.763353
2022,360391,2374,2178,91.743892
2022,360392,37512,35174,93.767328
2022,360393,76636,72315,94.361658
2022,360400,38260,35387,92.490852
2022,360413,55731,51516,92.436884
2022,360428,44239,41038,92.764303
2022,360432,17256,16035,92.924200
2022,360435,29689,27609,92.994038
2022,360437,25465,23679,92.986452
2022,360438,3806,3490,91.697320
2022,360458,101219,93961,92.829409
2022,360459,722469,670609,92.821837
2022,360460,375394,349812,93.185293
2022,360486,170555,158137,92.719064
2022,360490,587340,545852,92.936289
2022,360491,63899,59535,93.170472
2022,360737,1369,1292,94.375457
2022,360761,14277,13263,92.897668
2022,360794,414871,385205,92.849344
2022,360795,226206,210175,92.913097
2022,360797,2104,1942,92.300380
2022,360820,543381,504419,92.829709
2022,360825,181456,168836,93.045146
2022,360826,54304,50484,92.965527
2022,360856,4830,4636,95.983437
2022,360874,4854,4636,95.508859
2022,360876,33347,31778,95.294929
2022,360919,504223,479330,95.063097
2022,360920,2274,2104,92.524186
2022,360921,125616,119348,95.010190
2022,360927,1033035,983787,95.232688
2022,360941,38935,36878,94.716836
2022,360942,220009,208941,94.969297
2022,360945,58123,55216,94.998538
2022,360946,219832,209370,95.240911
2022,360948,65680,62506,95.167479
2022,360950,334443,318441,95.215328
2022,360951,71495,68184,95.368907
2022,360991,42030,39945,95.039258
2022,360992,17196,16369,95.190742
2022,361020,40442,38658,95.588744
2022,361044,73340,69507,94.773657
2022,361045,585431,556885,95.123934
2022,361054,210777,200521,95.134194
2022,361083,11345,10778,95.002204
2022,361091,79247,75756,95.594786
2022,361106,16654,15808,94.920139
2022,361107,85303,81039,95.001348
2022,361108,3207,3005,93.701278
2022,361110,103385,98132,94.918992
2022,361188,85279,80704,94.635256
2022,361193,17255,16308,94.511736
2022,361195,12290,11606,94.434500
