year,roll_name,total,passed,efficiency
2025,W+0_RB3-_S08_Forward,0,0,
2025,W+0_RB3-_S09_Backward,0,0,
2025,W+0_RB3-_S09_Forward,0,0,
2025,W+0_RB3-_S10_Backward,91557,87091,95.122164
2025,W+0_RB3-_S10_Forward,98462,82571,83.860779
2025,W+0_RB3-_S11_Backward,0,0,
2025,W+0_RB3-_S11_Forward,0,0,
2025,W+0_RB3-_S12_Backward,0,0,
2025,W+0_RB3-_S12_Forward,0,0,
2025,W+0_RB4++_S04_Backward,0,0,
2025,W+0_RB4++_S04_Forward,0,0,
2025,W+0_RB4+_S01_Backward,0,0,
2025,W+0_RB4+_S01_Forward,0,0,
2025,W+0_RB4+_S02_Backward,94223,64684,68.649905
2025,W+0_RB4+_S02_Forward,101261,64799,63.992060
2025,W+0_RB4+_S03_Backward,0,0,
2025,W+0_RB4+_S03_Forward,0,0,
2025,W+0_RB4+_S04_Backward,0,0,
2025,W+0_RB4+_S04_Forward,0,0,
2025,W+0_RB4+_S05_Backward,87572,85404,97.524323
2025,W+0_RB4+_S05_Forward,95261,92032,96.610365
2025,W+0_RB4+_S06_Backward,86528,84642,97.820359
2025,W+0_RB4+_S06_Forward,91109,89044,97.733484
2025,W+0_RB4+_S07_Backward,0,0,
2025,W+0_RB4+_S07_Forward,0,0,
2025,W+0_RB4+_S08_Backward,62988,54731,86.891154
2025,W+0_RB4+_S08_Forward,68699,66815,97.257602
2025,W+0_RB4+_S10_Backward,108001,106401,98.518532
2025,W+0_RB4+_S10_Forward,117742,97204,82.556777
2025,W+0_RB4+_S12_Backward,94983,93183,98.104924
2025,W+0_RB4+_S12_Forward,102439,100435,98.043714
2025,W+0_RB4--_S04_Backward,60050,58618,97.615321
2025,W+0_RB4--_S04_Forward,63256,61754,97.625522
2025,W+0_RB4-_S01_Backward,0,0,
2025,W+0_RB4-_S01_Forward,0,0,
2025,W+0_RB4-_S02_Backward,85761,84059,98.015415
2025,W+0_RB4-_S02_Forward,93104,88113,94.639328
2025,W+0_RB4-_S03_Backward,0,0,
2025,W+0_RB4-_S03_Forward,0,0,
2025,W+0_RB4-_S04_Backward,68098,66585,97.778202
2025,W+0_RB4-_S04_Forward,73446,72179,98.274923
2025,W+0_RB4-_S05_Backward,94152,91480,97.162036
2025,W+0_RB4-_S05_Forward,101772,98167,96.457768
2025,W+0_RB4-_S06_Backward,96408,94672,98.199320
2025,W+0_RB4-_S06_Forward,103120,100643,97.597944
2025,W+0_RB4-_S07_Backward,0,0,
2025,W+0_RB4-_S07_Forward,0,0,
2025,W+0_RB4-_S08_Backward,96216,94684,98.407749
2025,W+0_RB4-_S08_Forward,102844,98192,95.476644
2025,W+0_RB4-_S10_Backward,112816,110454,97.906325
2025,W+0_RB4-_S10_Forward,121852,119468,98.043528
2025,W+0_RB4-_S12_Backward,63592,62425,98.164864
2025,W+0_RB4-_S12_Forward,68459,57789,84.414029
2025,W+0_RB4_S09_Backward,91378,86325,94.470223
2025,W+0_RB4_S09_Forward,99596,95962,96.351259
2025,W+0_RB4_S11_Backward,82593,74060,89.668616
2025,W+0_RB4_S11_Forward,93955,89792,95.569155
2025,W+1_RB1in_S01_Backward,241973,238021,98.366760
2025,W+1_RB1in_S01_Forward,223536,208651,93.341117
2025,W+1_RB1in_S02_Backward,245410,241716,98.494764
2025,W+1_RB1in_S02_Forward,224659,219939,97.899038
2025,W+1_RB1in_S03_Backward,244482,239065,97.784295
2025,W+1_RB1in_S03_Forward,221063,216961,98.144420
2025,W+1_RB1in_S04_Backward,191232,185888,97.205489
2025,W+1_RB1in_S04_Forward,182344,179480,98.429342
2025,W+1_RB1in_S05_Backward,247025,230021,93.116486
2025,W+1_RB1in_S05_Forward,227051,224415,98.839027
2025,W+1_RB1in_S06_Backward,249905,244493,97.834377
2025,W+1_RB1in_S06_Forward,227810,194676,85.455423
2025,W+1_RB1in_S07_Backward,0,0,
2025,W+1_RB1in_S07_Forward,0,0,
2025,W+1_RB1in_S08_Backward,246460,239701,97.257567
2025,W+1_RB1in_S08_Forward,226808,213751,94.243148
2025,W+1_RB1in_S09_Backward,241546,236793,98.032259
2025,W+1_RB1in_S09_Forward,222212,219050,98.577035
2025,W+1_RB1in_S10_Backward,235461,230468,97.879479
2025,W+1_RB1in_S10_Forward,214491,211428,98.571968
2025,W+1_RB1in_S11_Backward,241567,235049,97.301784
2025,W+1_RB1in_S11_Forward,220822,217148,98.336217
2025,W+1_RB1in_S12_Backward,243563,210011,86.224509
2025,W+1_RB1in_S12_Forward,222462,218110,98.043711
2025,W+1_RB1out_S01_Backward,210660,179704,85.305231
2025,W+1_RB1out_S01_Forward,196619,194087,98.712230
2025,W+1_RB1out_S02_Backward,214347,186478,86.998185
2025,W+1_RB1out_S02_Forward,198034,186877,94.366119
2025,W+1_RB1out_S03_Backward,213992,196551,91.849695
2025,W+1_RB1out_S03_Forward,196013,194615,99.286782
2025,W+1_RB1out_S04_Backward,167148,163060,97.554263
2025,W+1_RB1out_S04_Forward,161244,142626,88.453524
2025,W+1_RB1out_S05_Backward,0,0,
2025,W+1_RB1out_S05_Forward,0,0,
2025,W+1_RB1out_S06_Backward,217869,207474,95.228784
2025,W+1_RB1out_S06_Forward,201484,199432,98.981557
2025,W+1_RB1out_S07_Backward,216632,213597,98.599007
2025,W+1_RB1out_S07_Forward,200810,198075,98.638016
2025,W+1_RB1out_S08_Backward,215266,209562,97.350255
2025,W+1_RB1out_S08_Forward,200992,198336,98.678554
2025,W+1_RB1out_S09_Backward,211466,203944,96.442927
2025,W+1_RB1out_S09_Forward,195857,193245,98.666374
2025,W+1_RB1out_S10_Backward,0,0,
2025,W+1_RB1out_S10_Forward,189720,96500,50.864432
2025,W+1_RB1out_S11_Backward,211102,184102,87.209974
2025,W+1_RB1out_S11_Forward,195300,192651,98.643625
2025,W+1_RB1out_S12_Backward,212448,209784,98.746046
2025,W+1_RB1out_S12_Forward,195348,193389,98.997174
