year,roll_name,total,passed,efficiency
2023,RE+1_R2_CH01_A,3906,3872,99.129544
2023,RE+1_R2_CH01_B,3698,3575,96.673878
2023,RE+1_R2_CH01_C,7885,4713,59.771718
2023,RE+1_R2_CH02_A,3854,3760,97.560976
2023,RE+1_R2_CH02_B,3589,3535,98.495403
2023,RE+1_R2_CH02_C,8028,7855,97.845042
2023,RE+1_R2_CH03_A,3793,3744,98.708147
2023,RE+1_R2_CH03_B,3526,3445,97.702779
2023,RE+1_R2_CH03_C,8033,7897,98.306984
2023,RE+1_R2_CH04_A,3746,3707,98.958889
2023,RE+1_R2_CH04_B,3592,3486,97.048998
2023,RE+1_R2_CH04_C,7972,7866,98.670346
2023,RE+1_R2_CH05_A,3913,3742,95.629951
2023,RE+1_R2_CH05_B,3713,3153,84.917856
2023,RE+1_R2_CH05_C,8078,6455,79.908393
2023,RE+1_R2_CH06_A,3821,3698,96.780947
2023,RE+1_R2_CH06_B,3583,3069,85.654479
2023,RE+1_R2_CH06_C,8368,8245,98.530115
2023,RE+1_R2_CH07_A,3768,3695,98.062633
2023,RE+1_R2_CH07_B,3527,3414,96.796144
2023,RE+1_R2_CH07_C,7955,7677,96.505343
2023,RE+1_R2_CH08_A,3829,3727,97.336119
2023,RE+1_R2_CH08_B,3681,3488,94.756860
2023,RE+1_R2_CH08_C,8118,7808,96.181325
2023,RE+1_R2_CH09_A,3867,3835,99.172485
2023,RE+1_R2_CH09_B,3608,3442,95.399113
2023,RE+1_R2_CH09_C,7949,7591,95.496289
2023,RE+1_R2_CH10_A,3922,3740,95.359510
2023,RE+1_R2_CH10_B,3721,3572,95.995700
2023,RE+1_R2_CH10_C,8231,8071,98.056129
2023,RE+1_R2_CH11_A,3829,1899,49.595195
2023,RE+1_R2_CH11_B,3576,1371,38.338926
2023,RE+1_R2_CH11_C,7973,3214,40.311050
2023,RE+1_R2_CH12_A,3747,3716,99.172671
2023,RE+1_R2_CH12_B,3639,3550,97.554273
2023,RE+1_R2_CH12_C,8109,7935,97.854236
2023,RE+1_R2_CH13_A,3823,3795,99.267591
2023,RE+1_R2_CH13_B,3515,3456,98.321479
2023,RE+1_R2_CH13_C,7885,7795,98.858592
2023,RE+1_R2_CH14_A,3813,3183,83.477577
2023,RE+1_R2_CH14_B,3751,3351,89.336177
2023,RE+1_R2_CH14_C,8185,7176,87.672572
2023,RE+1_R2_CH15_A,3811,3759,98.635529
2023,RE+1_R2_CH15_B,3662,3603,98.388859
2023,RE+1_R2_CH15_C,7875,7527,95.580952
2023,RE+1_R2_CH16_A,3875,3730,96.258065
2023,RE+1_R2_CH16_B,3617,3161,87.392867
2023,RE+1_R2_CH16_C,8078,7811,96.694726
2023,RE+1_R2_CH17_A,3793,3361,88.610598
2023,RE+1_R2_CH17_B,3535,3507,99.207921
2023,RE+1_R2_CH17_C,7962,7334,92.112535
2023,RE+1_R2_CH18_A,3670,3630,98.910082
2023,RE+1_R2_CH18_B,3495,3351,95.879828
2023,RE+1_R2_CH18_C,7854,7660,97.529921
2023,RE+1_R2_CH19_A,3939,3895,98.882965
2023,RE+1_R2_CH19_B,3696,3642,98.538961
2023,RE+1_R2_CH19_C,7936,7616,95.967742
2023,RE+1_R2_CH20_A,3715,3618,97.388964
2023,RE+1_R2_CH20_B,3662,3440,93.937739
2023,RE+1_R2_CH20_C,8131,7885,96.974542
2023,RE+1_R2_CH21_A,4717,3951,83.760865
2023,RE+1_R2_CH21_B,4313,3988,92.464642
2023,RE+1_R2_CH21_C,9273,7797,84.082821
2023,RE+1_R2_CH22_A,3784,3716,98.202960
2023,RE+1_R2_CH22_B,3822,3650,95.499738
2023,RE+1_R2_CH22_C,8085,7733,95.646259
2023,RE+1_R2_CH23_A,3769,3383,89.758557
2023,RE+1_R2_CH23_B,3688,3568,96.746204
