year,roll_name,total,passed,efficiency
2026,RE+1_R2_CH01_A,4015,3966,98.779577
2026,RE+1_R2_CH01_B,3994,3842,96.194291
2026,RE+1_R2_CH01_C,9354,5570,59.546718
2026,RE+1_R2_CH02_A,4193,4058,96.780348
2026,RE+1_R2_CH02_B,3829,3774,98.563594
2026,RE+1_R2_CH02_C,9082,8899,97.985025
2026,RE+1_R2_CH03_A,3920,3812,97.244898
2026,RE+1_R2_CH03_B,3662,3535,96.531950
2026,RE+1_R2_CH03_C,9288,9077,97.728252
2026,RE+1_R2_CH04_A,4040,3986,98.663366
2026,RE+1_R2_CH04_B,3950,3573,90.455696
2026,RE+1_R2_CH04_C,9192,9007,97.987380
2026,RE+1_R2_CH05_A,3995,3792,94.918648
2026,RE+1_R2_CH05_B,3808,3633,95.404412
2026,RE+1_R2_CH05_C,8946,8465,94.623295
2026,RE+1_R2_CH06_A,3774,3461,91.706412
2026,RE+1_R2_CH06_B,3592,2900,80.734967
2026,RE+1_R2_CH06_C,9013,8386,93.043382
2026,RE+1_R2_CH07_A,3821,3604,94.320858
2026,RE+1_R2_CH07_B,3521,3280,93.155354
2026,RE+1_R2_CH07_C,8607,7888,91.646334
2026,RE+1_R2_CH08_A,4102,3816,93.027791
2026,RE+1_R2_CH08_B,4039,3701,91.631592
2026,RE+1_R2_CH08_C,8734,7919,90.668651
2026,RE+1_R2_CH09_A,4149,4113,99.132321
2026,RE+1_R2_CH09_B,3765,3652,96.998672
2026,RE+1_R2_CH09_C,8481,8223,96.957906
2026,RE+1_R2_CH10_A,4169,3946,94.650995
2026,RE+1_R2_CH10_B,3887,3576,91.998971
2026,RE+1_R2_CH10_C,8570,8395,97.957993
2026,RE+1_R2_CH11_A,4142,2172,52.438436
2026,RE+1_R2_CH11_B,3802,1575,41.425565
2026,RE+1_R2_CH11_C,8881,3967,44.668393
2026,RE+1_R2_CH12_A,4207,4116,97.836938
2026,RE+1_R2_CH12_B,4067,3889,95.623310
2026,RE+1_R2_CH12_C,9295,8885,95.589026
2026,RE+1_R2_CH13_A,4207,4152,98.692655
2026,RE+1_R2_CH13_B,4009,3946,98.428536
2026,RE+1_R2_CH13_C,9208,9078,98.588184
2026,RE+1_R2_CH14_A,4283,3410,79.617091
2026,RE+1_R2_CH14_B,4095,3701,90.378510
2026,RE+1_R2_CH14_C,9277,8714,93.931228
2026,RE+1_R2_CH15_A,4408,4335,98.343920
2026,RE+1_R2_CH15_B,4208,4141,98.407795
2026,RE+1_R2_CH15_C,9523,9138,95.957156
2026,RE+1_R2_CH16_A,4244,3908,92.082941
2026,RE+1_R2_CH16_B,4068,3581,88.028515
2026,RE+1_R2_CH16_C,9233,8938,96.804939
2026,RE+1_R2_CH17_A,4143,3573,86.241854
2026,RE+1_R2_CH17_B,3715,3651,98.277254
2026,RE+1_R2_CH17_C,9094,8060,88.629866
2026,RE+1_R2_CH18_A,3956,3901,98.609707
2026,RE+1_R2_CH18_B,3669,3536,96.375034
