year,roll_name,total,passed,efficiency
2022,RE+1_R2_CH01_A,7738,7646,98.811062
2022,RE+1_R2_CH01_B,7395,7148,96.659905
2022,RE+1_R2_CH01_C,16278,9823,60.345251
2022,RE+1_R2_CH02_A,7657,7526,98.289147
2022,RE+1_R2_CH02_B,7326,7184,98.061698
2022,RE+1_R2_CH02_C,16081,15746,97.916796
2022,RE+1_R2_CH03_A,7764,7655,98.596084
2022,RE+1_R2_CH03_B,7279,7085,97.334799
2022,RE+1_R2_CH03_C,15933,15640,98.161049
2022,RE+1_R2_CH04_A,7791,7685,98.639456
2022,RE+1_R2_CH04_B,7346,7154,97.386333
2022,RE+1_R2_CH04_C,16141,15872,98.333437
2022,RE+1_R2_CH05_A,8097,7811,96.467828
2022,RE+1_R2_CH05_B,7400,7028,94.972973
2022,RE+1_R2_CH05_C,16150,15028,93.052632
2022,RE+1_R2_CH06_A,7759,7215,92.988787
2022,RE+1_R2_CH06_B,7504,6122,81.583156
2022,RE+1_R2_CH06_C,16867,15895,94.237268
2022,RE+1_R2_CH07_A,7518,7054,93.828146
2022,RE+1_R2_CH07_B,7192,6624,92.102336
2022,RE+1_R2_CH07_C,16132,14834,91.953880
2022,RE+1_R2_CH08_A,7874,7368,93.573787
2022,RE+1_R2_CH08_B,7406,6683,90.237645
2022,RE+1_R2_CH08_C,16267,14954,91.928444
2022,RE+1_R2_CH09_A,7754,7683,99.084344
2022,RE+1_R2_CH09_B,7242,6920,95.553714
2022,RE+1_R2_CH09_C,16420,15722,95.749086
2022,RE+1_R2_CH10_A,0,0,
2022,RE+1_R2_CH10_B,0,0,
2022,RE+1_R2_CH10_C,0,0,
2022,RE+1_R2_CH11_A,7875,4237,53.803175
2022,RE+1_R2_CH11_B,7485,3068,40.988644
2022,RE+1_R2_CH11_C,16202,7129,44.000741
2022,RE+1_R2_CH12_A,7702,7609,98.792521
2022,RE+1_R2_CH12_B,7290,7070,96.982167
2022,RE+1_R2_CH12_C,16554,16253,98.181708
2022,RE+1_R2_CH13_A,7645,7552,98.783519
2022,RE+1_R2_CH13_B,7318,7200,98.387538
2022,RE+1_R2_CH13_C,16065,15854,98.686586
2022,RE+1_R2_CH14_A,7525,6283,83.495017
2022,RE+1_R2_CH14_B,7290,6498,89.135802
2022,RE+1_R2_CH14_C,15770,13853,87.844008
2022,RE+1_R2_CH15_A,8078,7982,98.811587
2022,RE+1_R2_CH15_B,7494,7367,98.305311
2022,RE+1_R2_CH15_C,16167,15549,96.177398
2022,RE+1_R2_CH16_A,7709,7446,96.588403
2022,RE+1_R2_CH16_B,7416,6517,87.877562
2022,RE+1_R2_CH16_C,16413,15835,96.478401
2022,RE+1_R2_CH17_A,7718,6850,88.753563
2022,RE+1_R2_CH17_B,7401,7308,98.743413
2022,RE+1_R2_CH17_C,16355,15195,92.907368
2022,RE+1_R2_CH18_A,7623,7532,98.806244
2022,RE+1_R2_CH18_B,7318,7011,95.804865
2022,RE+1_R2_CH18_C,16156,15756,97.524140
2022,RE+1_R2_CH19_A,7765,7681,98.918223
2022,RE+1_R2_CH19_B,7507,7391,98.454776
2022,RE+1_R2_CH19_C,15947,15399,96.563617
2022,RE+1_R2_CH20_A,7848,7640,97.349643
2022,RE+1_R2_CH20_B,7375,6887,93.383051
2022,RE+1_R2_CH20_C,15755,15297,97.092986
2022,RE+1_R2_CH21_A,9038,7705,85.251162
2022,RE+1_R2_CH21_B,8583,8021,93.452173
2022,RE+1_R2_CH21_C,18635,15769,84.620338
2022,RE+1_R2_CH22_A,7909,7768,98.217221
2022,RE+1_R2_CH22_B,7538,7198,95.489520
