year,roll_name,total,passed,efficiency
2024,RE+1_R2_CH01_A,22631,22422,99.076488
2024,RE+1_R2_CH01_B,21985,21313,96.943370
2024,RE+1_R2_CH01_C,48386,29954,61.906337
2024,RE+1_R2_CH02_A,22659,22135,97.687453
2024,RE+1_R2_CH02_B,22168,21880,98.700830
2024,RE+1_R2_CH02_C,48781,48042,98.485066
2024,RE+1_R2_CH03_A,22484,22172,98.612347
2024,RE+1_R2_CH03_B,21515,21066,97.913084
2024,RE+1_R2_CH03_C,47685,46815,98.175527
2024,RE+1_R2_CH04_A,22821,22545,98.790588
2024,RE+1_R2_CH04_B,21423,20641,96.349718
2024,RE+1_R2_CH04_C,48367,47656,98.529989
2024,RE+1_R2_CH05_A,22861,22156,96.916145
2024,RE+1_R2_CH05_B,21999,21072,95.786172
2024,RE+1_R2_CH05_C,48154,45320,94.114715
2024,RE+1_R2_CH06_A,22274,20962,94.109724
2024,RE+1_R2_CH06_B,22009,18172,82.566223
2024,RE+1_R2_CH06_C,49316,47043,95.390948
2024,RE+1_R2_CH07_A,22518,21532,95.621281
2024,RE+1_R2_CH07_B,21257,20125,94.674695
2024,RE+1_R2_CH07_C,47614,44803,94.096274
2024,RE+1_R2_CH08_A,22877,21812,95.344669
2024,RE+1_R2_CH08_B,22228,20831,93.715134
2024,RE+1_R2_CH08_C,48088,45246,94.090002
2024,RE+1_R2_CH09_A,22415,22251,99.268347
2024,RE+1_R2_CH09_B,21110,20557,97.380388
2024,RE+1_R2_CH09_C,48342,47087,97.403914
2024,RE+1_R2_CH10_A,22580,21696,96.085031
2024,RE+1_R2_CH10_B,21515,20672,96.081803
2024,RE+1_R2_CH10_C,47286,46541,98.424481
2024,RE+1_R2_CH11_A,22638,13590,60.031805
2024,RE+1_R2_CH11_B,21716,10797,49.719101
2024,RE+1_R2_CH11_C,48426,26416,54.549209
2024,RE+1_R2_CH12_A,22350,21973,98.313199
2024,RE+1_R2_CH12_B,21749,20746,95.388294
2024,RE+1_R2_CH12_C,49145,47681,97.021060
2024,RE+1_R2_CH13_A,22768,21224,93.218552
2024,RE+1_R2_CH13_B,21433,19895,92.824150
2024,RE+1_R2_CH13_C,48278,44915,93.034094
2024,RE+1_R2_CH14_A,22721,19377,85.282338
2024,RE+1_R2_CH14_B,22039,20610,93.516040
2024,RE+1_R2_CH14_C,48620,45429,93.436857
2024,RE+1_R2_CH15_A,23197,23010,99.193861
2024,RE+1_R2_CH15_B,22164,21924,98.917163
2024,RE+1_R2_CH15_C,48023,46646,97.132624
2024,RE+1_R2_CH16_A,22879,21517,94.046943
2024,RE+1_R2_CH16_B,21411,18622,86.973985
2024,RE+1_R2_CH16_C,48791,46728,95.771761
2024,RE+1_R2_CH17_A,22456,19552,87.068044
2024,RE+1_R2_CH17_B,21180,20905,98.701605
2024,RE+1_R2_CH17_C,48155,43493,90.318762
2024,RE+1_R2_CH18_A,22527,22241,98.730412
2024,RE+1_R2_CH18_B,21202,20397,96.203188
2024,RE+1_R2_CH18_C,47489,46206,97.298322
2024,RE+1_R2_CH19_A,22976,22616,98.433148
2024,RE+1_R2_CH19_B,21716,21285,98.015288
2024,RE+1_R2_CH19_C,48173,45784,95.040790
2024,RE+1_R2_CH20_A,22837,22262,97.482156
2024,RE+1_R2_CH20_B,22028,20658,93.780643
2024,RE+1_R2_CH20_C,48301,47009,97.325107
2024,RE+1_R2_CH21_A,27264,25284,92.737676
2024,RE+1_R2_CH21_B,25699,25116,97.731429
2024,RE+1_R2_CH21_C,55866,50012,89.521355
2024,RE+1_R2_CH22_A,23089,22611,97.929750
2024,RE+1_R2_CH22_B,21548,20387,94.612029
2024,RE+1_R2_CH22_C,47968,45379,94.602652
2024,RE+1_R2_CH23_A,22424,19357,86.322690
2024,RE+1_R2_CH23_B,21783,20741,95.216453
2024,RE+1_R2_CH23_C,47966,43507,90.703832
2024,RE+1_R2_CH24_A,22326,21821,97.738063
2024,RE+1_R2_CH24_B,21440,21109,98.456157
2024,RE+1_R2_CH24_C,47588,46020,96.705052
2024,RE+1_R2_CH25_A,21916,11042,50.383282
2024,RE+1_R2_CH25_B,20931,20224,96.622235
2024,RE+1_R2_CH25_C,46944,46071,98.140337
2024,RE+1_R2_CH26_A,21624,21235,98.201073
2024,RE+1_R2_CH26_B,20636,20096,97.383214
2024,RE+1_R2_CH26_C,46730,46007,98.452814
2024,RE+1_R2_CH27_A,21813,21407,98.138725
2024,RE+1_R2_CH27_B,20705,20321,98.145376
2024,RE+1_R2_CH27_C,47094,46202,98.105916
2024,RE+1_R2_CH28_A,21917,21035,95.975727
2024,RE+1_R2_CH28_B,20964,20789,99.165236
2024,RE+1_R2_CH28_C,46379,45698,98.531663
2024,RE+1_R2_CH29_A,22032,16546,75.099855
2024,RE+1_R2_CH29_B,21258,20896,98.297112
2024,RE+1_R2_CH29_C,48128,47177,98.024019
2024,RE+1_R2_CH30_A,21685,21387,98.625778
